"country","NDAVAX","REF","DDC","FVA","FDC"
"NGA",492.5,98.1,97.4,212.5,94.8
"ZAF",298.6,97.7,109.3,154.9,70.3
"EGY",491.6,73.2,97.6,177.8,70.1
"KEN",480.7,129.8,87.6,210.7,78.6
"ETH",278.2,94.9,99.8,221.2,104.4
"GHA",340.7,114.8,61.1,179.3,95.9
"CIV",280.9,98.8,57.7,129.1,76.4
"TZA",365.3,84.9,78.1,113.2,74.4
"MAR",279,98.6,71.5,110.7,65.4
"AGO",323.4,76.9,50.5,121.5,42
"COD",300.6,63.2,42.4,148,62.3
"CMR",274,55.9,40.2,82.6,61.7
"UGA",200.2,53.7,39.6,90.5,54.9
"ZMB",219,61.5,43.3,126.9,42.6
"SEN",134.9,37,34.9,123.2,43.6
"TUN",228.3,58.3,47.8,110.9,43.2
"COG",86.2,36.1,19.2,56.3,19
"BWA",90.8,23.6,22.6,56.8,22.4
"MOZ",77.5,14.2,14,36.5,14.8
"DZA",59.2,14.9,8.6,30.4,14.8
