"REC","sector_code","value"
"EAC","AFF",0.34
"ECOWAS","AFF",0.19
"SADC","AFF",4.68
"AMU","AFF",63.93
"CEMAC","AFF",43.72
"IGAD","AFF",87.5
"EAC","FBE",0.41
"ECOWAS","FBE",251.76
"SADC","FBE",1.14
"AMU","FBE",0.34
"CEMAC","FBE",38.88
"IGAD","FBE",1.47
"EAC","PCM",63.64
"ECOWAS","PCM",2.63
"SADC","PCM",27.73
"AMU","PCM",62.08
"CEMAC","PCM",0.47
"IGAD","PCM",0.13
"EAC","MIN",0.31
"ECOWAS","MIN",28.09
"SADC","MIN",231.93
"AMU","MIN",9.59
"CEMAC","MIN",14.67
"IGAD","MIN",0.51
"EAC","TEX",8.45
"ECOWAS","TEX",0.44
"SADC","TEX",4.23
"AMU","TEX",1.38
"CEMAC","TEX",0.26
"IGAD","TEX",0.47
"EAC","MAN",42.37
"ECOWAS","MAN",3.04
"SADC","MAN",3.09
"AMU","MAN",5.36
"CEMAC","MAN",3.46
"IGAD","MAN",0.31
"EAC","TEQ",93.08
"ECOWAS","TEQ",13.56
"SADC","TEQ",72.42
"AMU","TEQ",58.68
"CEMAC","TEQ",201.84
"IGAD","TEQ",127.49
"EAC","SRV",1.38
"ECOWAS","SRV",0.86
"SADC","SRV",47.01
"AMU","SRV",49.03
"CEMAC","SRV",201.58
"IGAD","SRV",71.69
